experiment_id,model_id,method,sample_id,batch,row_index_in_batch,repeat,latency_ns
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:12,2,12,4,79603623
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:12,2,12,5,79534737
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:13,2,13,1,35487006
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:13,2,13,2,34569003
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:13,2,13,3,34829191
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:13,2,13,4,35912958
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:13,2,13,5,36579517
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:13,2,13,1,79956692
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:13,2,13,2,90500064
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:13,2,13,3,78282713
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:13,2,13,4,78616423
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:13,2,13,5,87768453
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:26,2,26,1,34944569
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:26,2,26,2,35095111
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:26,2,26,3,34055508
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:26,2,26,4,33955824
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:26,2,26,5,34165833
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:26,2,26,1,88719117
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:26,2,26,2,88603338
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:26,2,26,3,88953648
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:26,2,26,4,80500566
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:26,2,26,5,79167307
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:27,2,27,1,33570768
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:27,2,27,2,35296216
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:27,2,27,3,33553859
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:27,2,27,4,35072020
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:27,2,27,5,34811307
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:27,2,27,1,91208875
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:27,2,27,2,79919986
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:27,2,27,3,90966597
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:27,2,27,4,79579716
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:27,2,27,5,80602542
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:40,2,40,1,34346465
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:40,2,40,2,34407239
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:40,2,40,3,33823212
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:40,2,40,4,34846004
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:40,2,40,5,34018418
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:40,2,40,1,78563380
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:40,2,40,2,79463272
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:40,2,40,3,79273314
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:40,2,40,4,90134629
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:40,2,40,5,88245594
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:70,2,70,1,34505543
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:70,2,70,2,33848027
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:70,2,70,3,34738942
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:70,2,70,4,34753497
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:70,2,70,5,34111565
