experiment_id,model,protocol,test_batch,gas_class,precision,recall,f1,support
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,7,2,0.7258641239570918,0.9199395770392749,0.8114590273151232,662
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,7,3,0.2860655737704918,0.9694444444444444,0.4417721518987342,360
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,7,4,0.0,0.0,0.0,744
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,7,5,1.0,0.006349206349206349,0.012618296529968454,630
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,7,6,0.0,0.0,0.0,568
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,8,1,0.4411764705882353,1.0,0.6122448979591837,30
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,8,2,1.0,0.03333333333333333,0.06451612903225806,30
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,8,3,0.17410714285714285,0.975,0.29545454545454547,40
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,8,4,0.0,0.0,0.0,33
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,8,5,0.0,0.0,0.0,143
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,8,6,1.0,0.05555555555555555,0.10526315789473684,18
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,9,1,0.3961038961038961,1.0,0.5674418604651162,61
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,9,2,0.0,0.0,0.0,55
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,9,3,0.31746031746031744,1.0,0.4819277108433735,100
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,9,4,0.0,0.0,0.0,75
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,9,5,0.0,0.0,0.0,78
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,9,6,0.0,0.0,0.0,101
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,10,1,0.24115456238361266,0.8633333333333333,0.37700145560407566,600
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,10,2,0.9619952494061758,0.675,0.7933398628795298,600
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,10,3,0.5759717314487632,0.815,0.6749482401656315,600
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,10,4,0.0,0.0,0.0,600
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,10,5,0.6228070175438597,0.11833333333333333,0.19887955182072828,600
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,10,6,0.5147058823529411,0.058333333333333334,0.10479041916167664,600
